epoch,w0,w1,w2,w3,w4,Y(k),E(k)
1,-0.06124260355029587,0.0,0.0,0.08875739644970412,-0.06124260355029587,0010001000100010,7
2,-0.11695090728694309,0.0,0.0,0.03304909271305691,0.025123251401251614,0000000000000000,3
3,-0.09164417555354505,-0.1085009294397847,-0.1085009294397847,0.16685675388623966,0.050429983134649664,0011000100010000,1
4,-0.10471808854094593,-0.1085009294397847,-0.1085009294397847,0.1537828408988388,0.16710464205101377,0111000100010000,2
5,-0.10146842059663294,-0.1085009294397847,-0.1085009294397847,0.289932860029141,0.17035430999532675,0111001100110001,5
6,-0.2578027655330239,-0.1085009294397847,-0.1085009294397847,0.2648875848836869,0.1482337693208114,0011000100010000,1
7,-0.2903757449107357,-0.1085009294397847,-0.1085009294397847,0.23231460550597513,0.26355772023886836,0001000100010000,0
