epoch,w0,w1,w2,w3,w4,Y(k),E(k)
1,-0.3,-0.3,0.0,0.0,0.3,0101010100000000,3
2,-0.6,-0.6,0.0,0.0,0.3,0000000000000000,3
3,-0.3,-0.6,0.3,0.3,0.6,0111111100010101,7
4,-0.6,-0.6,0.0,0.3,0.6,0101010100000000,3
5,-0.5999999999999999,-0.6,0.3,0.6,0.6,0111011100010001,5
6,-0.8999999999999999,-0.6,0.0,0.5999999999999999,0.6,0001000100000000,1
7,-0.8999999999999999,-0.6,-0.3,0.5999999999999999,0.8999999999999999,0101000100000000,2
8,-0.8999999999999999,-0.6,0.0,0.8999999999999999,0.8999999999999999,0111011100010001,5
9,-1.2,-0.6,-0.3,0.8999999999999999,0.8999999999999999,0001000100010000,0
